rank,Processor_name,Processor_full_name,brand,url,rating,grade,antutu_v11,gb6_single,gb6_multi,cores,core_config,clock_mhz,gpu
50,Exynos 1580,Samsung Exynos 1580,Samsung,https://nanoreview.net/en/soc/samsung-exynos-1580,49,B,1243000,1359,3896,8,(1+3+4),2900 MHz,Samsung Xclipse 540
51,Snapdragon 7 Gen 4,Qualcomm Snapdragon 7 Gen 4,Qualcomm,https://nanoreview.net/en/soc/qualcomm-snapdragon-7-gen-4,48,B,1261959,1244,3506,8,(1+4+3),2800 MHz,Adreno 722
52,Dimensity 8200,MediaTek Dimensity 8200,MediaTek,https://nanoreview.net/en/soc/mediatek-dimensity-8200,48,B,1206715,1224,3891,8,(1+3+4),3100 MHz,Mali-G610 MP6
53,Tensor G2,Google Tensor G2,Google,https://nanoreview.net/en/soc/google-tensor-g2,48,B,1158921,1459,3451,8,(2+2+4),2850 MHz,Mali-G710 MP7
54,Kirin 9020,HiSilicon Kirin 9020,HiSilicon,https://nanoreview.net/en/soc/hisilicon-kirin-9020,47,B,1383793,1370,4446,8,(1+3+4),2500 MHz,Maleoon 920
55,Google Tensor,Google Tensor,Google,https://nanoreview.net/en/soc/google-tensor,47,B,1019946,1471,3478,8,(2+2+4),2800 MHz,Mali-G78 MP20
56,Snapdragon 888,Qualcomm Snapdragon 888,Qualcomm,https://nanoreview.net/en/soc/qualcomm-snapdragon-875,47,B,1118041,1488,3373,8,(1+3+4),2840 MHz,Adreno 660
57,Kirin 9000,HiSilicon Kirin 9000,HiSilicon,https://nanoreview.net/en/soc/hisilicon-kirin-9000,46,B,1079281,1262,3507,8,(1+3+4),3130 MHz,Mali-G78 MP24
58,Kirin 9010,HiSilicon Kirin 9010,HiSilicon,https://nanoreview.net/en/soc/hisilicon-kirin-9010,45,B,1155792,1397,3957,8,(1+3+4),2300 MHz,Maleoon 910
59,Dimensity 8100,MediaTek Dimensity 8100,MediaTek,https://nanoreview.net/en/soc/mediatek-dimensity-8100,45,B,1085324,1139,3842,8,(4+4),2850 MHz,Mali-G610 MP6
60,Exynos 2100,Samsung Exynos 2100,Samsung,https://nanoreview.net/en/soc/samsung-exynos-2100,45,B,1042710,1446,3612,8,(1+3+4),2900 MHz,Mali-G78 MP14
61,A12 Bionic,Apple A12 Bionic,Apple,https://nanoreview.net/en/soc/apple-a12-bionic,45,B,895627,1338,2903,6,(2+4),2490 MHz,Apple A12 GPU
62,Snapdragon 7s Gen 4,Qualcomm Snapdragon 7s Gen 4,Qualcomm,https://nanoreview.net/en/soc/qualcomm-snapdragon-7s-gen-4,44,B,986597,1237,3281,8,(1+3+4),2700 MHz,Adreno 810
63,Dimensity 8000,MediaTek Dimensity 8000,MediaTek,https://nanoreview.net/en/soc/mediatek-dimensity-8000,44,B,1080933,1097,3309,8,(4+4),2750 MHz,-
64,Snapdragon 870,Qualcomm Snapdragon 870,Qualcomm,https://nanoreview.net/en/soc/qualcomm-snapdragon-870,44,B,1005598,1298,3520,8,(1+3+4),3200 MHz,Adreno 650
65,Snapdragon 6 Gen 5,Qualcomm Snapdragon 6 Gen 5,Qualcomm,https://nanoreview.net/en/soc/qualcomm-snapdragon-6-gen-5,43,B,1073789,1180,3501,8,(4+4),2600 MHz,-
66,Snapdragon 7s Gen 3,Qualcomm Snapdragon 7s Gen 3,Qualcomm,https://nanoreview.net/en/soc/qualcomm-snapdragon-7s-gen-3,43,B,1038717,1174,3157,8,(1+3+4),2500 MHz,Adreno 810
67,Snapdragon 7 Gen 3,Qualcomm Snapdragon 7 Gen 3,Qualcomm,https://nanoreview.net/en/soc/qualcomm-snapdragon-7-gen-3,43,B,1020938,1131,2967,8,(1+3+4),2630 MHz,Adreno 720
68,Snapdragon 865 Plus,Qualcomm Snapdragon 865 Plus,Qualcomm,https://nanoreview.net/en/soc/qualcomm-snapdragon-865-plus,43,B,909414,1254,3297,8,(1+3+4),3100 MHz,Adreno 650
69,Kirin 8020,HiSilicon Kirin 8020,HiSilicon,https://nanoreview.net/en/soc/hisilicon-kirin-8020,42,B,1021894,1350,3570,8,(1+3+4),2285 MHz,Maleoon 920
70,Dimensity 7350,MediaTek Dimensity 7350,MediaTek,https://nanoreview.net/en/soc/mediatek-dimensity-7350,42,B,1037391,1086,3063,8,(2+6),3000 MHz,-
71,Exynos 1480,Samsung Exynos 1480,Samsung,https://nanoreview.net/en/soc/samsung-exynos-1480,42,B,997728,1140,3346,8,(4+4),2750 MHz,Samsung Xclipse 530
72,Dimensity 8050,MediaTek Dimensity 8050,MediaTek,https://nanoreview.net/en/soc/mediatek-dimensity-8050,42,B,1028453,1097,3359,8,(1+3+4),3000 MHz,Mali-G77 MP9
73,Dimensity 8020,MediaTek Dimensity 8020,MediaTek,https://nanoreview.net/en/soc/mediatek-dimensity-8020,42,B,969978,1120,3665,8,(4+4),2600 MHz,Mali-G77 MP9
74,Snapdragon 865,Qualcomm Snapdragon 865,Qualcomm,https://nanoreview.net/en/soc/qualcomm-snapdragon-865,42,B,964589,1168,3431,8,(1+3+4),2840 MHz,Adreno 650
75,Snapdragon 6 Gen 4,Qualcomm Snapdragon 6 Gen 4,Qualcomm,https://nanoreview.net/en/soc/qualcomm-snapdragon-6-gen-4,41,B,963651,1076,3077,8,(1+3+4),2300 MHz,Adreno 810
76,Dimensity 7200 Ultra,MediaTek Dimensity 7200 Ultra,MediaTek,https://nanoreview.net/en/soc/mediatek-dimensity-7200-ultra,41,B,960142,1193,2693,8,(2+6),2800 MHz,-
77,Kirin 9000S,HiSilicon Kirin 9000S,HiSilicon,https://nanoreview.net/en/soc/hisilicon-kirin-9000s,41,B,1062256,1325,4118,8,(1+3+4),2620 MHz,Maleoon 910
78,Dimensity 7200,MediaTek Dimensity 7200,MediaTek,https://nanoreview.net/en/soc/mediatek-dimensity-7200,41,B,971424,1167,2577,8,(2+6),2800 MHz,-
79,Dimensity 1300,MediaTek Dimensity 1300,MediaTek,https://nanoreview.net/en/soc/mediatek-dimensity-1300,41,B,954090,1114,3281,8,(1+3+4),3000 MHz,Mali-G77 MP9
80,Dimensity 1100,MediaTek Dimensity 1100,MediaTek,https://nanoreview.net/en/soc/mediatek-dimensity-1100,41,B,972810,1104,3321,8,(4+4),2600 MHz,Mali-G77 MP9
81,Dimensity 1200,MediaTek Dimensity 1200,MediaTek,https://nanoreview.net/en/soc/mediatek-dimensity-1200,41,B,980006,1143,3353,8,(1+3+4),3000 MHz,Mali-G77 MP9
82,Exynos 990,Samsung Exynos 990,Samsung,https://nanoreview.net/en/soc/samsung-exynos-990,41,B,901199,1222,3060,8,(2+2+4),2730 MHz,Mali-G77 MP11
83,Dimensity 7400,MediaTek Dimensity 7400,MediaTek,https://nanoreview.net/en/soc/mediatek-dimensity-7400,40,B,929183,1061,3185,8,(4+4),2600 MHz,Mali-G615 MP2
84,Snapdragon 6 Gen 3,Qualcomm Snapdragon 6 Gen 3,Qualcomm,https://nanoreview.net/en/soc/qualcomm-snapdragon-6-gen-3,39,B,833548,1009,2933,8,(4+4),2400 MHz,Adreno 710
85,Snapdragon 7 Gen 1,Qualcomm Snapdragon 7 Gen 1,Qualcomm,https://nanoreview.net/en/soc/qualcomm-snapdragon-7-gen-1,39,B,829085,1039,2885,8,(1+3+4),2400 MHz,Adreno 644
86,Snapdragon 778G Plus,Qualcomm Snapdragon 778G Plus,Qualcomm,https://nanoreview.net/en/soc/qualcomm-snapdragon-778g-plus,39,B,800145,1059,3043,8,(1+3+4),2500 MHz,Adreno 642
87,Dimensity 1000 Plus,MediaTek Dimensity 1000 Plus,MediaTek,https://nanoreview.net/en/soc/mediatek-dimensity-1000-plus,39,B,708890,1031,3123,8,(4+4),2600 MHz,Mali-G77 MP9
88,Kirin 990 (5G),HiSilicon Kirin 990 (5G),HiSilicon,https://nanoreview.net/en/soc/hisilicon-kirin-990-5g,39,B,887876,1018,3387,8,(2+2+4),2860 MHz,Mali-G76 MP16
89,Snapdragon 855 Plus,Qualcomm Snapdragon 855 Plus,Qualcomm,https://nanoreview.net/en/soc/qualcomm-snapdragon-855-plus,39,B,859084,1031,2864,8,(1+3+4),2960 MHz,Adreno 640
90,Dimensity 7360,MediaTek Dimensity 7360,MediaTek,https://nanoreview.net/en/soc/mediatek-dimensity-7360,38,B,922560,1025,2882,8,(4+4),2500 MHz,Mali-G615 MP2
91,Snapdragon 6s Gen 4,Qualcomm Snapdragon 6s Gen 4,Qualcomm,https://nanoreview.net/en/soc/qualcomm-snapdragon-6s-gen-4,38,B,831969,1009,2892,8,(4+4),2400 MHz,Adreno 710
92,Dimensity 7300,MediaTek Dimensity 7300,MediaTek,https://nanoreview.net/en/soc/mediatek-dimensity-7300,38,B,877329,1009,2936,8,(4+4),2500 MHz,Mali-G615 MP2
93,Snapdragon 7s Gen 2,Qualcomm Snapdragon 7s Gen 2,Qualcomm,https://nanoreview.net/en/soc/qualcomm-snapdragon-7s-gen-2,38,B,794701,1015,2687,8,(4+4),2400 MHz,Adreno 710
94,Snapdragon 782G,Qualcomm Snapdragon 782G,Qualcomm,https://nanoreview.net/en/soc/qualcomm-snapdragon-782g,38,B,806420,1126,3034,8,(1+3+4),2700 MHz,Adreno 642
95,Snapdragon 778G,Qualcomm Snapdragon 778G,Qualcomm,https://nanoreview.net/en/soc/qualcomm-snapdragon-778g-5g,38,B,780000,1017,2943,8,(1+3+4),2400 MHz,Adreno 642
96,Snapdragon 780G,Qualcomm Snapdragon 780G,Qualcomm,https://nanoreview.net/en/soc/qualcomm-snapdragon-780g,38,B,782789,1051,2971,8,(1+3+4),2400 MHz,Adreno 642
97,Snapdragon 860,Qualcomm Snapdragon 860,Qualcomm,https://nanoreview.net/en/soc/qualcomm-snapdragon-860,38,B,813344,1004,2653,8,(1+3+4),2960 MHz,Adreno 640
98,Snapdragon 855,Qualcomm Snapdragon 855,Qualcomm,https://nanoreview.net/en/soc/qualcomm-snapdragon-855,38,B,820253,968,2731,8,(1+3+4),2840 MHz,Adreno 640
99,Kirin 8000,HiSilicon Kirin 8000,HiSilicon,https://nanoreview.net/en/soc/hisilicon-kirin-8000,37,B,829838,937,2598,8,(1+3+4),2400 MHz,-
100,Dimensity 7030,MediaTek Dimensity 7030,MediaTek,https://nanoreview.net/en/soc/mediatek-dimensity-7030,37,B,737693,1048,2503,8,(2+6),2500 MHz,Mali-G610 MP3
101,Dimensity 1080,MediaTek Dimensity 1080,MediaTek,https://nanoreview.net/en/soc/mediatek-dimensity-1080,37,B,722902,1032,2507,8,(2+6),2600 MHz,Mali-G68 MP4
102,Exynos 9825,Samsung Exynos 9825,Samsung,https://nanoreview.net/en/soc/samsung-exynos-9825,37,B,798922,1035,2528,8,(2+2+4),2730 MHz,Mali-G76 MP12
103,A11 Bionic,Apple A11 Bionic,Apple,https://nanoreview.net/en/soc/apple-a11-bionic,37,B,626912,1105,2629,6,(2+4),2390 MHz,Apple A11 GPU
104,Dimensity 7100,MediaTek Dimensity 7100,MediaTek,https://nanoreview.net/en/soc/mediatek-dimensity-7100,36,B,768176,989,3024,8,(4+4),2400 MHz,Mali-G610 MP2
105,Snapdragon 6 Gen 1,Qualcomm Snapdragon 6 Gen 1,Qualcomm,https://nanoreview.net/en/soc/qualcomm-snapdragon-6-gen-1,36,B,733620,935,2719,8,(4+4),2200 MHz,Adreno 710
106,Dimensity 7050,MediaTek Dimensity 7050,MediaTek,https://nanoreview.net/en/soc/mediatek-dimensity-7050,36,B,802497,1061,2398,8,(2+6),2600 MHz,Mali-G68 MP4
107,Exynos 1380,Samsung Exynos 1380,Samsung,https://nanoreview.net/en/soc/samsung-exynos-1380,36,B,765609,1008,2776,8,(4+4),2400 MHz,Mali-G68 MP5
108,Dimensity 920,MediaTek Dimensity 920,MediaTek,https://nanoreview.net/en/soc/mediatek-dimensity-920,36,B,750481,905,2285,8,(2+6),2500 MHz,Mali-G68 MP4
109,Snapdragon 4 Gen 4,Qualcomm Snapdragon 4 Gen 4,Qualcomm,https://nanoreview.net/en/soc/qualcomm-snapdragon-4-gen-4,35,B,600942,930,2210,8,(2+6),2300 MHz,Adreno 613
110,Dimensity 7060,MediaTek Dimensity 7060,MediaTek,https://nanoreview.net/en/soc/mediatek-dimensity-7060,35,B,679213,1037,2386,8,(2+6),2600 MHz,IMG BXM-8-256
111,Dimensity 1050,MediaTek Dimensity 1050,MediaTek,https://nanoreview.net/en/soc/mediatek-dimensity-1050,35,B,668004,981,2451,8,(2+6),2500 MHz,-
112,Dimensity 930,MediaTek Dimensity 930,MediaTek,https://nanoreview.net/en/soc/mediatek-dimensity-930,35,B,593307,915,2299,8,(2+6),2200 MHz,IMG BXM-8-256
113,Dimensity 900,MediaTek Dimensity 900,MediaTek,https://nanoreview.net/en/soc/mediatek-dimensity-900,35,B,671241,1003,2423,8,(2+6),2400 MHz,Mali-G68 MP4
114,Exynos 9820,Samsung Exynos 9820,Samsung,https://nanoreview.net/en/soc/samsung-exynos-9820,35,B,744321,1001,2322,8,(2+2+4),2730 MHz,Mali-G76 MP12
115,Kirin 980,HiSilicon Kirin 980,HiSilicon,https://nanoreview.net/en/soc/hisilicon-kirin-980,35,B,739763,928,2875,8,(2+2+4),2600 MHz,Mali-G76 MP10
116,Snapdragon 4 Gen 5,Qualcomm Snapdragon 4 Gen 5,Qualcomm,https://nanoreview.net/en/soc/qualcomm-snapdragon-4-gen-5,34,C,652054,943,2410,8,(2+6),2400 MHz,-
117,Kirin 8000A,HiSilicon Kirin 8000A,HiSilicon,https://nanoreview.net/en/soc/hisilicon-kirin-8000a,34,C,682743,904,2420,6,(3+3),2200 MHz,-
118,Snapdragon 6s Gen 3,Qualcomm Snapdragon 6s Gen 3,Qualcomm,https://nanoreview.net/en/soc/qualcomm-snapdragon-6s-gen-3,34,C,623235,938,2183,8,(2+6),2300 MHz,Adreno 619
119,Dimensity 7025,MediaTek Dimensity 7025,MediaTek,https://nanoreview.net/en/soc/mediatek-dimensity-7025,34,C,557820,1024,2472,8,(2+6),2500 MHz,IMG BXM-8-256
120,Dimensity 7020,MediaTek Dimensity 7020,MediaTek,https://nanoreview.net/en/soc/mediatek-dimensity-7020,34,C,639509,912,2244,8,(2+6),2200 MHz,IMG BXM-8-256
121,Snapdragon 4 Gen 2,Qualcomm Snapdragon 4 Gen 2,Qualcomm,https://nanoreview.net/en/soc/qualcomm-snapdragon-4-gen-2,34,C,572954,923,2249,8,(2+6),2200 MHz,Adreno 613
122,Unisoc T9100,Unisoc T9100,Unisoc,https://nanoreview.net/en/soc/unisoc-t9100,33,C,701417,872,2451,8,(1+3+4),2700 MHz,Mali-G57 MP4
123,Unisoc T820,Unisoc T820,Unisoc,https://nanoreview.net/en/soc/unisoc-t820,33,C,757199,885,2392,8,(1+3+4),2700 MHz,Mali-G57 MP4
124,Snapdragon 695,Qualcomm Snapdragon 695,Qualcomm,https://nanoreview.net/en/soc/qualcomm-snapdragon-695,33,C,592489,905,2003,8,(2+6),2200 MHz,Adreno 619
125,Dimensity 820,MediaTek Dimensity 820,MediaTek,https://nanoreview.net/en/soc/mediatek-dimensity-820,33,C,609659,839,2312,8,(4+4),2600 MHz,Mali-G57 MP5
126,Kirin 820,HiSilicon Kirin 820,HiSilicon,https://nanoreview.net/en/soc/hisilicon-kirin-820,33,C,602614,836,2458,8,(1+3+4),2360 MHz,Mali-G57 MP6
127,Unisoc T8300,Unisoc T8300,Unisoc,https://nanoreview.net/en/soc/unisoc-t8300,32,C,639225,880,2073,8,(2+6),2200 MHz,Mali-G57 MP2
128,Dimensity 6400,MediaTek Dimensity 6400,MediaTek,https://nanoreview.net/en/soc/mediatek-dimensity-6400,32,C,550018,803,2047,8,(2+6),2500 MHz,Mali-G57 MP2
129,Exynos 1330,Samsung Exynos 1330,Samsung,https://nanoreview.net/en/soc/samsung-exynos-1330,32,C,592392,953,2003,8,(2+6),2400 MHz,Mali-G68 MP2
130,Snapdragon 4 Gen 1,Qualcomm Snapdragon 4 Gen 1,Qualcomm,https://nanoreview.net/en/soc/qualcomm-snapdragon-4-gen-1,32,C,521686,852,2048,8,(2+6),2000 MHz,Adreno 619
131,Exynos 1280,Samsung Exynos 1280,Samsung,https://nanoreview.net/en/soc/samsung-exynos-1280,32,C,605067,957,2039,8,(2+6),2400 MHz,Mali-G68 MP4
132,Snapdragon 765G,Qualcomm Snapdragon 765G,Qualcomm,https://nanoreview.net/en/soc/qualcomm-snapdragon-765g,32,C,597153,799,1836,8,(1+1+6),2400 MHz,Adreno 620
133,Kirin 810,HiSilicon Kirin 810,HiSilicon,https://nanoreview.net/en/soc/hisilicon-kirin-810,32,C,551097,797,2120,8,(2+6),2270 MHz,-
134,Helio G200,MediaTek Helio G200,MediaTek,https://nanoreview.net/en/soc/mediatek-helio-g200,31,C,601391,727,1975,8,(2+6),2200 MHz,Mali-G57 MP2
135,Helio G100,MediaTek Helio G100,MediaTek,https://nanoreview.net/en/soc/mediatek-helio-g100,31,C,570469,728,1959,8,(2+6),2200 MHz,Mali-G57 MP2
136,Snapdragon 4s Gen 2,Qualcomm Snapdragon 4s Gen 2,Qualcomm,https://nanoreview.net/en/soc/qualcomm-snapdragon-4s-gen-2,31,C,506757,838,1899,8,(2+6),2000 MHz,Adreno 611
137,Unisoc T760,Unisoc T760,Unisoc,https://nanoreview.net/en/soc/unisoc-t760,31,C,626381,744,2390,8,(4+4),2200 MHz,Mali-G57 MP4
138,Dimensity 6300,MediaTek Dimensity 6300,MediaTek,https://nanoreview.net/en/soc/mediatek-dimensity-6300,31,C,532738,771,1980,8,(2+6),2400 MHz,Mali-G57 MP2
139,Dimensity 6100 Plus,MediaTek Dimensity 6100 Plus,MediaTek,https://nanoreview.net/en/soc/mediatek-dimensity-6100-plus,31,C,513180,692,1849,8,(2+6),2200 MHz,Mali-G57 MP2
140,Dimensity 6080,MediaTek Dimensity 6080,MediaTek,https://nanoreview.net/en/soc/mediatek-dimensity-6080,31,C,581315,750,2020,8,(2+6),2400 MHz,Mali-G57 MP2
141,Dimensity 6020,MediaTek Dimensity 6020,MediaTek,https://nanoreview.net/en/soc/mediatek-dimensity-6020,31,C,527185,724,2032,8,(2+6),2200 MHz,Mali-G57 MP2
142,Helio G99,MediaTek Helio G99,MediaTek,https://nanoreview.net/en/soc/mediatek-helio-g99,31,C,547830,728,1986,8,(2+6),2200 MHz,Mali-G57 MP2
143,Dimensity 810,MediaTek Dimensity 810,MediaTek,https://nanoreview.net/en/soc/mediatek-dimensity-810,31,C,569913,684,1900,8,(2+6),2400 MHz,Mali-G57 MP2
