rank,Processor_name,Processor_full_name,brand,url,rating,grade,antutu_v11,gb6_single,gb6_multi,cores,core_config,clock_mhz,gpu
177,Tiger T615,Unisoc Tiger T615,Unisoc,https://nanoreview.net/en/soc/unisoc-tiger-t615,24,D,351752,440,1386,8,(2+6),1800 MHz,Mali-G57 MP1
178,Helio G81,MediaTek Helio G81,MediaTek,https://nanoreview.net/en/soc/mediatek-helio-g81,24,D,357879,432,1416,8,(2+6),2000 MHz,Mali-G52 MP2
179,Tiger T612,Unisoc Tiger T612,Unisoc,https://nanoreview.net/en/soc/unisoc-tiger-t612,24,D,341088,421,1402,8,(2+6),1800 MHz,Mali-G57 MP1
180,Tiger T616,Unisoc Tiger T616,Unisoc,https://nanoreview.net/en/soc/unisoc-tiger-t616,24,D,388158,452,1490,8,(2+6),2000 MHz,Mali-G57 MP1
181,Helio G88,MediaTek Helio G88,MediaTek,https://nanoreview.net/en/soc/mediatek-helio-g88,24,D,353817,430,1375,8,(2+6),2000 MHz,Mali-G52 MP2
182,Tiger T618,Unisoc Tiger T618,Unisoc,https://nanoreview.net/en/soc/unisoc-tiger-t618,24,D,364048,445,1419,8,(2+6),2000 MHz,Mali-G52 MP2
183,Helio G85,MediaTek Helio G85,MediaTek,https://nanoreview.net/en/soc/mediatek-helio-g85,24,D,349222,420,1364,8,(2+6),2000 MHz,Mali-G52 MP2
184,Snapdragon 662,Qualcomm Snapdragon 662,Qualcomm,https://nanoreview.net/en/soc/qualcomm-snapdragon-662,24,D,320666,339,1088,8,(4+4),2000 MHz,Adreno 610
185,Helio G80,MediaTek Helio G80,MediaTek,https://nanoreview.net/en/soc/mediatek-helio-g80,24,D,310388,406,1456,8,(2+6),2000 MHz,Mali-G52 MP2
186,Helio G70,MediaTek Helio G70,MediaTek,https://nanoreview.net/en/soc/mediatek-helio-g70,24,D,317084,417,1345,8,(2+6),2000 MHz,Mali-G52 MP2
187,Apple A9,Apple A9,Apple,https://nanoreview.net/en/soc/apple-a9,24,D,419670,633,1014,2,(),1850 MHz,PowerVR GT7600
188,Snapdragon 665,Qualcomm Snapdragon 665,Qualcomm,https://nanoreview.net/en/soc/qualcomm-snapdragon-665,24,D,323556,321,1128,8,(4+4),2000 MHz,Adreno 610
189,Snapdragon 670,Qualcomm Snapdragon 670,Qualcomm,https://nanoreview.net/en/soc/qualcomm-snapdragon-670,24,D,322015,381,1239,8,(2+6),2000 MHz,Adreno 615
190,Helio P90,MediaTek Helio P90,MediaTek,https://nanoreview.net/en/soc/mediatek-helio-p90,24,D,388553,414,1373,8,(2+6),2200 MHz,PowerVR GM9446
191,Exynos 8895,Samsung Exynos 8895,Samsung,https://nanoreview.net/en/soc/samsung-exynos-8895,24,D,447464,422,1387,8,(4+4),2314 MHz,Mali-G71 MP20
192,Unisoc T606,Unisoc T606,Unisoc,https://nanoreview.net/en/soc/unisoc-t606,23,D,330006,378,1335,8,(2+6),1600 MHz,Mali-G57 MP1
193,Tiger T610,Unisoc Tiger T610,Unisoc,https://nanoreview.net/en/soc/unisoc-tiger-t610,23,D,320967,418,1305,8,(2+6),1820 MHz,Mali-G52 MP2
194,Tiger T700,Unisoc Tiger T700,Unisoc,https://nanoreview.net/en/soc/unisoc-tiger-t700,23,D,332816,412,1310,8,(2+6),1820 MHz,Mali-G52 MP2
195,Exynos 850,Samsung Exynos 850,Samsung,https://nanoreview.net/en/soc/samsung-exynos-850,23,D,231906,300,1024,8,(),2000 MHz,Mali-G52 MP1
196,Snapdragon 460,Qualcomm Snapdragon 460,Qualcomm,https://nanoreview.net/en/soc/qualcomm-snapdragon-460,23,D,251428,272,992,8,(4+4),1800 MHz,Adreno 610
